web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1584088123-6012","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Hi5mama","Liked it!","Reviewed in the United States on October 2, 2016","You have to read this knowing it is a play. I kept hearing Daniel Radcliffe's voice through the whole story. I thought it was good, but do miss the original store of writing.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_92?ie=UTF8&filterByStar=four_star&pageNumber=92&reviewerType=all_reviews&sortBy=recent"
"1584088269-6668","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","J.Rod","Same impact as ""The Force Awakens""","Reviewed in the United States on August 15, 2016","The fact is this is not the formative years of Harry's life, which is what we're used to. But it is a continuation of a story and saga we all know and love.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_157?ie=UTF8&filterByStar=four_star&pageNumber=157&reviewerType=all_reviews&sortBy=recent"
"1584088088-5850","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Packie","Wanted to love it","Reviewed in the United States on October 9, 2016","I wanted to love this book, but I just can't. Ok book, although I was expecting much more.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_76?ie=UTF8&filterByStar=four_star&pageNumber=76&reviewerType=all_reviews&sortBy=recent"
"1584088133-6057","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Unknown","Four Stars","Reviewed in the United States on September 29, 2016","Great plot line with many twists that you don't see coming","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_96?ie=UTF8&filterByStar=four_star&pageNumber=96&reviewerType=all_reviews&sortBy=recent"
"1584088330-6945","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","darlyn M. Smith","Four Stars","Reviewed in the United States on August 3, 2016","Missed the rich descriptions of a book","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_185?ie=UTF8&filterByStar=four_star&pageNumber=185&reviewerType=all_reviews&sortBy=recent"
"1584088170-6221","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Amazon Customer","Interesting","Reviewed in the United States on September 17, 2016","This oddly seemed to me a bit more like fan fiction than an actual canon story by J.K. Rowling. But by about a quarter of the way through I was hooked and ended up finishing it in one night. So that part still feels like a real Harry Potter book :)","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_113?ie=UTF8&filterByStar=four_star&pageNumber=113&reviewerType=all_reviews&sortBy=recent"
"1584088237-6525","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Amazon Customer","Well I really liked this book","Reviewed in the United States on August 24, 2016","Well I really liked this book! I thought that the way it was written was very cool. I absolutely love the Harry Potter series, it is definitely by far my favourite series! Out of all the Harry Potter stories, this is my least favourite because the overall feel was not like the original potters. I still enjoyed how this story was very much!  I would recommend this story to everybody.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_143?ie=UTF8&filterByStar=four_star&pageNumber=143&reviewerType=all_reviews&sortBy=recent"
"1584088090-5866","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Eran Einav","Four Stars","Reviewed in the United States on October 8, 2016","Nice book. It is a script, and not a J.K Rollins noble.
A bit childish, comparing to the books.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_77?ie=UTF8&filterByStar=four_star&pageNumber=77&reviewerType=all_reviews&sortBy=recent"
"1584088298-6793","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Damemago","Good.","Reviewed in the United States on August 8, 2016","I don't like the end of the book.  And were is Hagrid? But overall is a good book it keeps me reading until the end.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_170?ie=UTF8&filterByStar=four_star&pageNumber=170&reviewerType=all_reviews&sortBy=recent"
"1584088050-5671","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Amazon Customer","More Harry Potter","Reviewed in the United States on November 5, 2016","I'm not sure I like the new play format.  It's too short and not enough detail about all the other characters.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_58?ie=UTF8&filterByStar=four_star&pageNumber=58&reviewerType=all_reviews&sortBy=recent"
